"Name","Hometown","Position","Stars","Grade","School"
"Seth JacobsVideo | Scouts Report","Arroyo Grande, CAArroyo Grande High School","#14 OLB","","80","Signed02/01/2012"
"Rhaheim LedbetterVideo | Scouts Report","Shelby, NCCrest High School","#9 S","","80","Signed07/15/2011"
"Jake RodriguesVideo | Scouts Report","Rocklin, CAWhitney High School","#12 QB","","80","Signed05/27/2011"
"Aziz ShittuVideo | Scouts Report","Atwater, CABuhach High School","#17 DT","","80","Signed02/01/2012"
"Keon HatcherVideo | Scouts Report","Owasso, OKOwasso High School","#28 WR","","80","Signed08/04/2011"
"Vince BiegelVideo | Scouts Report","Wisconsin Rapids, WILincoln High School","#15 OLB","","80","Signed04/23/2011"
"Trae ElstonVideo | Scouts Report","Oxford, ALOxford High School","#10 S","","80","Signed"
"Sean MaguireVideo | Scouts Report","West Orange, NJSeton Hall Preparatory School","#13 QB","","80","Signed06/01/2011"
"Justin ThomasVideo | Scouts Report","Prattville, ALPrattville High School","#18 ATH","","80","Signed12/13/2011"
"Kendall SandersVideo | Scouts Report","Athens, TXAthens High School","#13 CB","","80","Signed12/02/2011"
"Chris WormleyVideo | Scouts Report","Toledo, OHWhitmer High School","#17 DE","","80","Signed07/31/2011"
"Jordan PaytonVideo | Scouts Report","Westlake Village, CAOaks Christian High School","#29 WR","","80","Signed02/01/2012"
"Joey HuntVideo | Scouts Report","El Campo, TXEl Campo High School","#18 DT","","80","Signed02/05/2011"
"Wayne MorganVideo | Scouts Report","Brooklyn, NYErasmus Hall High School","#11 S","","80","Signed02/01/2012"
"Nate SudfeldVideo | Scouts Report","Modesto, CAModesto Christian High School","#14 QB","","80","Signed01/26/2012"
"Darion MonroeVideo | Scouts Report","Reserve, LAEast Saint John High School","#19 ATH","","80","Signed01/31/2012"
"Josh PerryVideo | Scouts Report","Galena, OHOlentangy High School","#16 OLB","","80","Signed06/29/2010"
"Shaquille LawsonVideo | Scouts Report","Central, SCD. W. Daniel High School","#18 DE","","80","Signed03/06/2011"
"Bart HoustonVideo | Scouts Report","Concord, CADe La Salle High School","#15 QB","","80","Signed05/03/2011"
"LaDarrell McNeilVideo | Scouts Report","Dallas, TXWilmer Hutchins High School","#12 S","","80","Signed08/16/2011"
"Donald HopkinsVideo | Scouts Report","Lago Vista, TXLago Vista High School","#19 DT","","80","Signed01/15/2012"
